Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
7.1697,7.4791,7.57,7.693,7.9617,8.1002,8.1776,8.2392,8.1539,8.0416,7.8047,7.6067
7.407,7.6053,7.786,7.9772,8.1444,8.3193,8.3795,8.4139,8.3686,8.3166,7.9534,7.8054
7.6969,7.7752,8.007,8.0302,8.3845,8.6122,8.5404,8.5624,8.5913,8.44,8.1381,7.8555
7.7341,7.7939,7.7998,8.1272,8.5594,8.7415,8.7334,8.734,8.7937,8.7573,8.2085,7.9009
7.7381,7.8465,8.0813,8.2977,8.5288,8.7705,8.7989,8.8446,8.823,8.5627,8.2872,8.0624
7.8519,8.0091,8.1394,8.4115,8.5313,8.7227,8.8024,8.782,8.5729,8.6495,8.26,8.0149
7.7529,7.8052,8.0822,8.2393,8.5349,8.6523,8.7381,8.8667,8.7933,8.6735,8.2459,7.9899
7.866,7.9789,8.2398,8.3786,8.6532,8.9141,8.7415,8.7978,8.7495,8.5892,8.2471,8.0318
7.8721,7.9741,8.0095,8.2318,8.4876,8.5258,8.5827,8.5688,8.4333,8.2501,8.0398,7.9208
7.5782,7.9244,7.9015,8.0888,8.2738,8.4259,8.4926,8.4211,8.3557,8.3599,8.105,7.9412
7.6563,7.7111,8.0992,8.1613,8.3477,8.5555,8.6018,8.6226,8.5028,8.4924,8.1619,7.8248
7.7336,8.0395,8.3201,8.4575,8.8298,9.0677,9.0311,9.0131,8.9234,8.8433,8.4742,8.2903
8.0661,8.1862,8.1674,8.3728,8.6403,8.7333,8.8186,8.717,8.5891,8.4659,8.3065,8.0791
8.003,8.0195,8.3487,8.8167,8.9943,9.2516,9.2083,9.2176,8.9181,8.8464,8.7222,8.3017
8.2386,8.3253,8.6155,8.9346,9.0673,9.2941,9.3579,9.5017,9.387,9.0549,8.9649,8.5779
8.5179,8.7574,8.8746,9.224,9.556,9.7892,9.7665,9.9294,9.9352,9.7559,9.7599,9.2712
9.5469,9.8007,9.8687,10.3163,10.6101,10.8477,10.9601,10.9356,10.9432,10.5844,10.1797,9.8366
10.056,9.8929,10.2695,10.6281,10.7739,11.0877,11.0743,11.0734,10.9558,10.8195,10.7019,10.3319
10.1403,10.1602,10.4499,10.9317,11.4012,11.7709,12.0697,12.0874,11.924,11.8051,11.4158,10.8576
10.9774,11.1834,11.2802,11.4966,11.7776,11.8122,11.8492,11.9404,11.9558,11.6497,11.2592,10.8986
10.4916,10.8875,11.1052,11.7087,11.91,11.9132,12.0368,12.0277,11.9516,11.8642,11.6215,11.0633
10.8722,11.0598,11.5227,11.6716,11.9322,11.9695,12.0917,12.0871,12.1691,12.0812,11.7805,11.3991
11.4074,11.5061,11.6952,11.9222,11.9043,12.0903,12.0022,12.1734,12.2977,12.0342,11.752,11.6223
11.4581,11.6277,11.6116,11.9285,12.4011,12.5386,12.6467,12.5256,12.5123,12.3622,12.097,11.7237
11.6545,11.9385,12.2526,12.3149,12.8495,12.9918,13.0942,13.037,12.9523,12.5997,12.4817,12.1742
12.097,12.286,12.3327,12.6159,12.9258,12.9155,12.9445,12.9112,13.0341,12.7153,12.7058,12.3212
11.9904,12.1387,12.5643,12.4277,12.7905,12.7317,12.6771,12.8845,12.8721,12.46,12.7476,12.228
12.2132,12.787,12.89,12.7154,13.0678,13.1959,13.0793,13.1536,13.2782,12.804,12.9387,12.4492
12.2171,12.6277,12.9686,12.8757,13.1201,13.0256,13.1254,13.2584,13.0131,12.8456,12.8996,12.4299
12.4826,12.7338,12.8585,13.2854,13.3417,13.3595,13.2855,13.3274,13.1845,12.8381,13.0412,12.6904
